id,MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability,flud_0620_v1
95383,5,3,5,4,2,6,9,7,5,5,3,4,6,7,2,6,6,4,7,4,0.505,0.51741743
386668,3,4,4,5,4,5,4,5,4,3,2,3,6,7,5,1,8,6,7,8,0.515,0.47848314
688835,8,6,4,8,2,9,6,8,8,7,5,1,4,5,3,6,5,8,6,3,0.565,0.5806861
465863,7,1,6,5,2,8,9,2,4,8,3,8,3,5,6,5,5,6,5,10,0.57,0.55464524
473753,5,4,8,4,4,8,5,4,5,7,4,5,5,8,5,5,2,7,3,7,0.545,0.536552
552385,5,9,8,4,7,2,5,4,7,3,3,6,9,5,3,4,5,3,2,2,0.5,0.48011857
145934,2,4,8,2,5,3,8,6,6,1,8,7,5,4,4,4,6,6,4,7,0.515,0.50166106
562058,6,5,4,5,4,9,5,9,5,11,4,6,0,5,5,7,1,2,4,4,0.505,0.5452633
873877,1,6,5,6,10,3,8,1,1,6,6,6,4,3,2,3,7,3,6,5,0.435,0.4723357
864956,10,7,5,6,0,5,8,7,6,4,6,2,5,3,5,6,8,4,6,3,0.545,0.54972124
676617,7,4,7,5,5,4,8,5,3,4,7,5,7,8,2,9,4,7,5,6,0.59,0.5811572
809857,2,4,2,7,5,4,5,6,3,5,3,9,4,4,10,4,3,3,5,4,0.44,0.4627149
191386,3,3,5,6,1,5,8,5,6,6,1,5,5,6,5,2,4,5,6,5,0.435,0.47846267
567102,5,6,7,3,8,3,3,3,7,5,4,3,5,1,5,5,4,5,8,3,0.51,0.4787801
898425,6,4,4,12,6,4,6,4,5,3,4,4,3,7,5,5,2,2,3,2,0.45,0.4697594
467177,5,6,9,5,5,6,9,5,3,6,6,7,2,5,5,2,4,6,6,9,0.585,0.5631422
75444,2,4,6,9,4,4,4,5,6,3,4,5,4,4,9,3,10,6,7,4,0.52,0.5241029
322979,4,4,3,6,3,4,3,5,2,7,4,4,8,2,2,4,6,6,6,7,0.495,0.46898898
759136,4,3,4,6,9,7,8,4,4,6,7,4,4,7,7,3,8,4,5,3,0.54,0.54555655
356629,7,5,5,0,3,2,8,8,3,3,5,6,9,5,5,4,3,4,4,5,0.515,0.4807542
456601,3,5,4,6,4,8,6,4,2,0,4,7,5,7,7,4,7,4,4,4,0.5,0.4864062
1056101,3,3,3,8,8,6,6,5,3,6,6,4,4,6,5,6,5,2,7,5,0.525,0.5099524
805655,0,3,3,2,6,4,6,5,2,3,4,8,3,6,3,6,5,8,8,7,0.515,0.47569722
961955,7,4,4,5,3,5,2,8,5,6,3,3,3,6,4,6,5,3,8,6,0.465,0.47857207
1066694,4,3,4,1,4,4,3,4,3,6,6,7,4,4,5,1,6,7,0,6,0.385,0.41715276
75173,4,3,4,4,4,4,3,7,4,4,3,4,3,8,2,3,4,6,6,7,0.43,0.42214787
1056600,4,8,4,7,5,5,6,7,4,7,4,4,6,4,4,3,6,11,5,3,0.545,0.54277635
48113,5,6,8,5,6,2,7,3,6,3,3,4,3,5,8,3,3,12,5,3,0.605,0.5106261
979740,7,4,5,4,6,7,3,3,4,10,4,5,4,6,4,2,9,6,5,6,0.525,0.5371916
86555,8,4,3,5,2,7,4,5,1,8,3,6,6,2,5,6,5,6,5,6,0.5,0.48431456
1091331,6,1,2,3,5,6,6,3,5,5,6,6,3,11,4,1,4,5,3,5,0.44,0.45691013
902986,9,5,9,5,1,3,5,5,3,2,6,3,3,5,6,5,5,8,4,5,0.475,0.48429322
1091730,3,6,9,4,6,6,4,4,4,7,3,5,5,4,5,9,4,3,3,6,0.5,0.50847423
181685,4,6,3,2,3,3,4,5,6,9,4,5,5,6,5,8,7,5,3,4,0.475,0.4936191
675495,8,6,7,8,5,4,8,4,2,7,8,3,3,5,8,3,5,3,6,3,0.555,0.54187346
210488,4,6,3,3,5,6,4,2,5,3,3,0,4,4,6,5,8,8,8,3,0.43,0.44640082
1067474,4,8,5,6,2,8,4,4,4,5,3,8,2,4,3,6,5,8,4,5,0.5,0.4957403
1079461,5,4,4,8,4,4,6,3,5,4,5,7,4,9,4,4,5,6,5,5,0.54,0.51860857
173117,4,4,9,1,1,8,6,4,2,5,1,8,4,6,6,3,6,4,6,4,0.47,0.47602168
839743,3,2,7,5,6,4,5,9,9,5,3,4,7,4,2,6,4,6,4,4,0.52,0.50660765
163105,8,2,2,3,10,2,4,6,6,7,7,4,6,3,3,2,4,8,4,3,0.51,0.4777884
378730,4,7,4,15,6,5,6,5,6,8,4,7,5,2,3,5,8,4,7,3,0.58,0.5781307
439760,2,4,6,5,9,9,5,7,5,4,6,7,5,5,4,5,3,3,3,4,0.505,0.5186192
718644,4,4,6,5,9,3,6,6,8,3,3,3,3,8,4,3,4,6,6,3,0.485,0.48363748
632839,4,8,4,7,3,6,3,7,7,4,6,5,3,5,7,3,3,4,5,6,0.505,0.5187693
133775,5,4,3,7,7,8,4,8,5,5,7,3,6,7,5,7,7,4,5,7,0.58,0.60096085
1035475,6,8,6,3,5,6,6,7,4,5,5,5,5,1,4,5,2,10,4,7,0.535,0.5350408
479911,6,3,4,3,4,7,4,7,4,6,3,4,5,4,3,9,5,8,4,8,0.525,0.5177423
1013442,5,4,6,3,7,3,6,4,3,7,4,7,8,4,6,5,11,7,4,3,0.54,0.5441712
857018,4,1,7,3,5,0,7,4,5,4,5,6,3,3,4,11,7,9,4,6,0.53,0.5169096
454574,3,5,5,5,5,4,8,3,4,6,4,7,8,4,6,5,3,4,4,5,0.475,0.4909263
596999,7,7,5,4,6,2,5,2,8,5,5,6,5,7,7,8,4,7,6,3,0.55,0.5727154
370813,2,5,7,4,2,6,4,4,11,5,6,6,4,3,4,5,7,6,4,9,0.525,0.5318484
259798,4,9,0,4,6,3,6,2,6,5,2,6,4,4,6,8,7,4,6,6,0.49,0.4981967
529374,3,6,4,3,7,5,3,0,4,3,2,4,4,1,3,4,3,4,5,4,0.315,0.38749015
798233,3,2,3,9,6,6,11,7,3,2,4,5,7,7,3,3,7,4,10,5,0.565,0.5335896
344654,2,6,5,5,2,7,4,6,3,4,6,6,2,3,2,8,7,6,3,5,0.455,0.47036415
1101410,7,3,4,6,5,6,8,7,7,6,5,8,5,6,2,2,4,6,6,5,0.565,0.55778193
937997,4,3,5,5,4,5,5,4,7,7,5,2,5,6,10,6,3,6,5,3,0.505,0.49117777
680777,7,5,4,8,2,8,3,7,5,5,0,4,5,7,7,8,3,3,3,3,0.53,0.51597667
742172,4,10,4,4,9,7,3,3,2,3,3,6,3,4,7,3,5,4,3,4,0.45,0.44565868
343775,3,4,7,5,4,2,4,3,6,3,3,6,7,2,3,5,8,2,9,3,0.45,0.43112695
114669,4,8,2,3,5,6,6,2,4,6,5,7,4,6,4,6,8,2,7,5,0.505,0.5126835
504349,6,3,6,5,5,5,2,5,4,2,5,3,3,3,6,7,7,2,4,3,0.41,0.42791572
37575,4,4,5,4,10,4,1,6,3,3,8,2,7,4,5,4,6,3,11,1,0.52,0.47920692
426348,9,7,7,8,5,4,5,5,4,4,5,4,8,7,6,6,6,3,3,4,0.58,0.56317496
19759,3,4,2,4,4,6,5,4,3,4,8,6,4,3,5,8,4,6,7,7,0.51,0.48485714
82970,4,5,4,6,2,8,4,3,1,5,4,3,6,7,2,6,6,7,4,6,0.46,0.47726762
445921,2,4,6,4,4,7,9,5,2,5,4,7,2,6,4,4,3,1,5,2,0.42,0.4342416
74821,6,6,5,4,2,4,5,10,7,4,4,4,4,6,4,4,3,5,5,3,0.52,0.48134416
501408,3,7,7,8,2,6,4,7,7,6,8,8,7,6,3,9,7,7,6,8,0.64,0.6432942
190646,3,6,6,4,4,5,3,5,13,3,4,3,6,5,6,4,5,5,8,6,0.585,0.5259031
559488,3,6,10,2,6,8,5,6,7,4,1,7,4,4,5,3,7,6,6,9,0.55,0.56857485
438915,5,3,5,6,3,6,5,2,6,5,8,4,4,7,1,7,5,4,5,7,0.475,0.5070774
909308,7,3,7,10,6,6,5,4,5,7,1,1,11,3,4,9,2,4,2,10,0.57,0.5571101
446697,8,8,7,1,7,10,10,2,7,2,2,2,5,6,4,4,6,6,3,5,0.545,0.52520263
815430,2,7,7,3,8,2,6,8,4,5,5,8,5,6,4,3,5,6,5,5,0.525,0.5363514
368445,9,5,8,4,4,5,7,6,3,4,6,4,6,9,4,2,4,4,4,6,0.535,0.53115153
857789,4,3,3,4,5,4,8,2,2,2,4,1,7,7,8,7,8,5,2,7,0.455,0.4852984
378458,2,2,4,5,7,0,5,4,6,5,7,5,9,6,3,10,5,6,5,2,0.49,0.48979592
51225,6,3,5,2,8,4,5,4,5,6,4,7,5,5,5,3,2,3,6,5,0.51,0.4777553
19245,8,7,3,3,3,1,4,1,2,7,1,9,6,3,6,5,1,6,5,7,0.43,0.44508195
625362,2,1,6,4,5,3,4,8,7,6,8,4,5,2,6,8,5,9,1,5,0.495,0.5059875
442348,4,6,5,3,1,3,2,4,5,4,6,3,5,3,2,2,2,5,4,3,0.415,0.38952735
498821,10,3,4,4,3,4,6,4,1,6,5,5,2,3,3,3,5,1,1,6,0.415,0.39754564
22460,2,3,5,4,5,6,5,4,9,4,6,4,4,3,3,3,3,8,8,6,0.47,0.48752198
383749,1,3,6,1,2,5,3,5,5,6,3,4,3,1,1,4,4,3,8,5,0.415,0.38755673
299087,4,5,3,4,3,5,6,3,5,3,4,8,5,3,6,3,5,4,6,8,0.46,0.47565833
870412,7,3,5,3,4,4,5,5,5,3,9,6,6,4,3,9,4,6,4,5,0.555,0.50390744
884630,2,3,6,4,4,6,3,7,3,3,1,6,2,9,7,4,7,5,5,6,0.48,0.4779122
473690,5,5,5,7,5,2,2,3,3,5,2,6,9,3,5,4,5,3,5,6,0.43,0.45101714
642362,5,5,9,3,5,1,4,4,3,7,4,5,5,2,7,5,6,5,3,4,0.435,0.47528982
750949,3,4,2,3,4,5,4,5,8,3,5,3,7,5,4,5,9,6,4,3,0.44,0.47687972
283645,7,5,5,3,5,7,4,7,5,3,8,4,4,5,2,6,3,6,9,9,0.545,0.5477786
923561,3,5,7,6,5,3,4,4,5,6,3,5,3,7,4,1,9,3,2,8,0.48,0.47816825
246890,0,4,6,6,4,7,3,3,8,4,4,8,6,6,4,6,6,1,7,4,0.465,0.49369
493948,5,7,7,8,6,5,8,4,7,6,4,3,3,4,6,5,3,3,3,7,0.525,0.53940284
739375,3,5,7,4,7,4,2,6,3,3,5,4,6,4,3,5,1,10,2,6,0.46,0.45384246
545302,4,5,3,5,6,2,9,3,1,4,6,6,5,5,4,6,1,7,2,5,0.44,0.45875221
434068,5,4,4,3,5,5,6,3,8,4,6,5,1,6,5,5,9,5,6,3,0.53,0.48970792
301563,4,5,6,6,4,4,4,7,7,4,6,7,3,2,8,4,3,3,3,4,0.49,0.4791159
640766,2,5,2,4,3,5,7,4,4,4,8,5,2,9,5,5,2,5,6,4,0.455,0.46577236
590791,7,6,4,3,6,5,6,8,8,4,3,5,4,5,3,4,4,7,3,5,0.555,0.5097784
602162,5,10,2,4,2,7,5,6,5,3,7,6,8,7,6,3,3,2,3,4,0.485,0.4858665
1071797,3,5,4,6,4,4,6,4,7,8,7,5,7,6,3,3,8,7,5,4,0.545,0.550189
736951,0,6,6,7,5,5,5,4,2,8,4,5,6,6,3,4,5,4,3,5,0.435,0.47993156
690638,9,2,7,3,5,3,7,5,4,4,4,4,2,8,8,5,4,3,6,6,0.495,0.50569797
404653,8,4,5,3,6,3,4,5,2,3,5,2,5,8,5,5,3,4,4,5,0.425,0.44510525
243833,3,4,6,3,6,8,4,4,6,4,4,6,7,7,5,9,5,11,2,1,0.535,0.5370457
268193,7,6,9,4,5,3,9,3,5,3,4,4,1,4,7,3,4,4,9,5,0.495,0.5051007
633588,5,5,5,7,5,5,10,8,7,6,9,3,1,5,3,6,3,3,4,4,0.52,0.5370735
511575,4,3,7,3,5,6,3,7,5,9,2,1,2,6,3,9,7,6,1,9,0.49,0.5184013
1010692,5,8,7,2,5,6,3,0,4,4,4,6,4,6,6,5,3,4,6,7,0.52,0.48262677
172184,7,2,4,6,4,6,9,5,3,4,5,4,3,10,6,3,3,8,4,3,0.52,0.50538385
809184,8,7,3,5,9,3,5,5,3,8,2,2,9,2,5,4,3,6,4,4,0.51,0.4816715
110499,3,4,7,7,6,2,2,7,5,6,4,1,7,5,5,5,2,10,1,3,0.44,0.48487678
945886,3,8,9,2,3,6,6,6,4,5,4,5,3,2,2,11,7,6,3,2,0.52,0.48032227
1108307,4,7,1,5,6,0,4,8,2,4,9,6,6,2,4,3,4,4,5,7,0.45,0.47014636
801497,6,4,4,5,5,4,3,7,5,5,6,5,8,6,2,7,6,5,4,4,0.505,0.52123034
81886,6,7,5,2,0,4,3,2,5,2,6,5,4,5,7,4,8,4,8,4,0.455,0.4599207
1052415,4,4,7,8,2,3,5,6,7,4,6,7,5,5,7,5,3,3,2,7,0.53,0.512614
976015,5,3,4,2,4,4,5,5,3,4,6,4,3,8,4,0,3,5,4,5,0.395,0.4034076
979070,7,5,4,4,4,5,3,6,3,3,6,4,8,9,3,3,2,8,5,6,0.5,0.50343204
128914,2,3,8,5,4,6,5,3,5,7,6,5,6,4,6,2,8,6,3,5,0.52,0.49036843
52357,4,5,7,4,4,3,7,5,8,3,4,2,4,5,2,5,5,8,5,1,0.485,0.47091067
840598,5,2,7,1,7,5,1,6,4,7,4,6,3,5,10,3,6,2,5,3,0.445,0.47882947
236006,4,5,4,2,2,9,6,5,4,4,6,7,3,4,4,6,5,7,4,6,0.475,0.48521057
309002,5,4,4,8,5,4,1,6,5,8,3,5,8,3,9,3,4,5,10,5,0.545,0.5264861
125448,2,8,8,1,2,5,7,7,3,8,4,6,8,4,1,3,5,4,2,3,0.435,0.47815078
91885,6,6,8,2,5,4,3,3,6,3,4,2,4,2,5,8,3,8,8,4,0.445,0.4869453
730488,6,2,4,5,5,5,4,4,3,4,4,4,7,5,9,6,5,5,3,3,0.51,0.46349925
693033,6,5,6,3,2,5,6,6,6,3,5,7,4,6,8,4,3,3,2,5,0.47,0.47743464
726046,5,4,5,3,4,4,7,4,6,2,4,7,6,3,6,2,8,2,4,9,0.47,0.48058975
222967,3,8,4,7,4,3,8,10,5,5,2,8,8,2,3,3,5,2,7,2,0.495,0.50289786
904553,6,3,8,7,7,3,10,3,3,2,6,6,5,3,2,8,4,2,5,4,0.475,0.4786427
444128,5,8,3,5,3,5,11,5,8,5,0,3,7,2,6,5,4,10,4,6,0.595,0.5478435
203961,10,6,6,6,5,4,6,4,7,5,6,4,4,6,5,5,4,2,9,7,0.565,0.57418495
337105,5,3,6,7,1,4,4,5,3,7,5,1,2,7,9,8,6,3,6,0,0.47,0.47461045
182989,4,5,1,5,5,2,3,5,6,6,4,3,1,8,6,5,6,11,3,5,0.445,0.47759545
129192,6,3,4,3,6,6,5,5,6,7,4,3,5,6,3,5,8,3,8,6,0.525,0.52323157
351264,4,5,5,5,4,4,5,8,5,5,3,8,9,6,4,5,7,4,5,6,0.545,0.5555361
266585,5,5,3,2,5,5,3,3,6,3,4,4,8,5,4,6,8,5,4,4,0.455,0.47384626
60124,2,5,4,3,5,4,3,5,5,5,5,4,5,9,8,4,3,9,5,4,0.51,0.5138756
802628,5,6,2,4,3,7,9,6,7,2,3,6,4,6,3,3,4,4,7,3,0.445,0.48103178
358966,4,4,9,4,6,6,11,3,2,8,3,3,2,4,2,5,4,9,3,7,0.495,0.50983626
1060922,5,9,5,5,6,5,5,8,8,4,8,5,5,8,5,8,4,6,5,2,0.605,0.58939874
67877,5,6,3,5,2,4,3,12,6,3,5,4,3,3,4,6,4,2,7,10,0.475,0.48324692
814387,1,6,8,5,7,1,8,8,10,4,5,3,7,3,4,7,6,6,11,1,0.565,0.58008087
518550,10,5,5,1,5,2,6,3,3,8,7,4,4,4,5,6,5,3,3,4,0.46,0.48076102
375693,0,4,7,8,5,4,5,5,4,3,4,9,4,10,2,5,11,7,6,5,0.565,0.5466237
870017,7,3,2,3,3,4,5,2,3,7,7,8,2,6,3,4,5,8,6,9,0.485,0.4963559
822225,3,3,4,4,4,1,8,7,5,5,3,4,9,8,3,3,9,5,6,6,0.505,0.5239893
663087,4,6,5,4,4,8,5,5,3,3,8,5,4,9,1,3,4,6,5,5,0.485,0.48575667
665355,4,4,5,2,4,9,7,8,7,7,5,5,8,3,4,2,5,4,5,6,0.525,0.5343419
166198,3,4,4,5,5,2,8,4,6,3,4,8,7,5,5,7,2,4,3,3,0.44,0.46514097
608700,6,3,4,9,3,6,3,7,2,5,6,8,4,1,7,7,6,9,5,3,0.52,0.5331547
972111,7,8,6,1,3,6,4,5,5,6,3,5,6,5,4,5,2,2,1,8,0.485,0.4782508
551323,4,5,2,1,3,5,2,4,4,5,6,4,4,0,5,7,7,7,5,0,0.39,0.3999029
234573,6,3,2,7,4,8,2,6,5,4,4,4,1,4,5,3,8,8,3,5,0.47,0.46831048
110963,2,4,2,6,5,9,6,1,8,2,3,5,8,7,6,5,8,7,6,6,0.545,0.5482159
727009,7,10,3,1,6,7,5,4,4,5,9,5,8,6,3,4,2,4,6,6,0.595,0.5409394
993869,7,5,5,10,6,4,6,6,5,9,3,5,4,5,2,4,4,7,3,4,0.55,0.5345852
1079090,5,6,5,9,2,3,9,3,2,4,6,6,6,3,5,6,5,11,4,4,0.56,0.5234209
291999,6,5,2,6,2,6,3,5,4,6,8,7,3,5,6,5,7,6,3,3,0.475,0.5108158
304499,4,7,5,6,9,8,4,7,5,4,3,1,4,7,2,3,5,4,6,14,0.58,0.540642
889745,6,3,2,4,4,8,1,1,6,4,3,6,4,10,8,4,5,6,5,2,0.445,0.47439513
106519,3,5,7,4,9,2,1,3,5,5,2,4,2,6,4,6,5,6,6,9,0.445,0.4844415
153981,5,6,6,4,6,10,4,3,2,5,3,3,7,4,8,2,3,5,5,8,0.53,0.51036763
70281,3,2,7,3,3,3,6,8,5,3,9,6,0,5,5,5,1,3,4,8,0.44,0.4482033
995664,5,2,8,6,3,5,4,4,2,5,6,5,6,6,4,6,6,2,3,6,0.52,0.4747225
648923,6,6,6,4,4,4,4,7,7,6,4,8,7,3,5,7,8,5,6,4,0.59,0.5776097
498991,5,3,5,8,6,5,6,4,4,5,4,5,4,3,5,6,3,10,6,2,0.495,0.5119153
1032676,1,5,2,7,8,10,5,6,6,5,5,1,3,1,3,1,7,7,6,3,0.505,0.47123092
913445,3,5,5,8,6,6,4,4,5,4,2,3,3,4,5,6,6,3,7,8,0.485,0.4819314
666052,5,4,6,1,5,5,5,6,4,6,5,2,6,6,4,4,4,6,7,8,0.495,0.50804627
434894,8,3,9,6,5,7,2,3,4,4,8,5,5,6,2,3,4,6,4,3,0.475,0.4896651
705427,2,3,2,1,2,7,5,1,5,4,6,2,5,4,2,4,5,4,2,6,0.415,0.39283627
8588,4,3,5,6,5,6,10,4,7,6,3,6,4,3,7,10,6,5,4,7,0.585,0.57479286
809006,2,5,2,4,3,1,9,3,5,6,7,1,5,7,4,8,7,4,5,4,0.505,0.47644827
407329,2,6,6,8,6,5,3,7,8,3,9,2,7,6,7,4,3,4,4,4,0.52,0.5325268
1025821,3,6,4,6,6,4,2,4,6,7,5,8,7,6,5,6,5,5,4,6,0.545,0.54534465
429909,4,8,3,6,1,2,2,7,7,5,2,9,2,6,5,3,3,6,6,2,0.44,0.45749554
967241,7,7,4,6,7,5,6,6,2,5,2,5,2,4,10,6,5,2,4,4,0.52,0.5053688
33516,5,8,5,3,6,4,11,6,8,4,5,5,4,8,2,7,6,4,6,12,0.61,0.61552334
84700,7,2,6,5,4,10,3,6,11,5,6,2,4,4,1,8,9,3,6,5,0.54,0.5375478
273962,4,7,5,5,10,4,8,3,1,3,4,5,7,5,6,10,2,5,7,6,0.54,0.54608315
303667,4,8,3,5,8,1,1,5,7,3,4,4,6,5,3,7,5,5,5,8,0.51,0.50933075
10869,3,6,4,3,8,6,2,3,5,4,9,6,6,3,6,4,3,4,5,3,0.51,0.47797388
890372,4,10,6,3,3,6,5,8,7,4,2,5,4,5,4,2,8,5,5,3,0.515,0.5147682
861610,3,5,4,4,8,4,5,2,1,6,3,9,2,1,7,9,5,8,4,7,0.48,0.4830195
423006,6,5,5,4,4,8,7,4,6,4,5,8,5,3,1,4,5,4,6,7,0.505,0.52041155
582998,5,3,4,5,7,4,6,3,4,8,2,5,6,4,5,2,7,3,6,5,0.49,0.47307602
216972,9,10,3,5,4,7,4,5,6,7,3,4,7,7,6,5,3,6,6,6,0.595,0.59413594
614740,3,7,9,6,1,9,5,4,4,3,5,5,4,5,6,7,6,6,2,3,0.505,0.5187314
910009,8,12,5,1,0,5,6,5,2,6,2,5,6,6,4,6,8,9,2,3,0.54,0.5218421
465064,4,4,7,3,8,3,3,3,5,6,1,5,7,4,3,5,3,4,4,3,0.4,0.4237094
1065012,4,8,4,3,4,6,4,8,6,4,4,4,6,3,7,5,6,6,6,3,0.505,0.5241333
452226,2,2,7,7,6,5,3,3,2,9,3,7,3,6,6,7,8,3,10,6,0.535,0.53998995
564876,5,5,8,5,5,4,1,2,5,2,3,1,5,3,1,0,5,4,5,5,0.415,0.38951927
431024,9,5,4,4,1,5,7,8,5,5,4,6,5,5,2,2,5,2,6,2,0.445,0.47877342
898745,4,7,6,4,5,5,10,5,7,7,4,5,5,4,2,10,1,5,4,4,0.525,0.5320689
630892,3,5,6,8,3,3,3,4,8,3,8,5,6,4,5,7,5,1,4,7,0.485,0.5055451
798810,2,3,7,4,1,6,5,8,3,3,5,3,6,8,5,5,6,6,3,4,0.48,0.47287
178400,6,6,2,7,5,3,3,5,3,7,6,6,4,2,3,3,5,4,8,3,0.495,0.45923603
155507,4,5,6,6,5,7,3,3,5,5,4,4,7,3,3,5,8,5,5,4,0.475,0.48549747
662867,5,2,6,5,5,8,2,2,12,4,4,10,5,3,6,4,4,5,4,4,0.555,0.49553102
231908,4,4,3,3,7,5,3,4,4,3,8,17,3,2,7,2,7,6,6,4,0.54,0.4959954
458277,4,2,5,2,6,6,5,5,9,3,7,8,6,3,3,5,5,4,4,2,0.49,0.48019338
1069995,3,4,3,4,3,4,4,2,11,7,6,2,5,7,5,9,2,6,5,5,0.475,0.47872993
337993,5,2,4,5,6,7,8,2,1,6,3,9,9,8,2,2,7,6,1,7,0.5,0.5194903
485377,5,7,6,5,6,6,4,5,4,6,5,6,4,5,8,4,4,8,5,4,0.545,0.5610734
672435,6,4,4,3,2,4,5,3,5,3,7,3,4,6,7,5,5,7,9,7,0.495,0.49461344
200862,3,8,4,5,7,4,9,4,7,4,6,3,8,7,7,3,5,2,11,4,0.565,0.5630103
824090,5,3,7,6,2,6,3,8,9,5,3,8,4,7,5,8,2,6,6,4,0.545,0.54943657
200069,5,4,6,4,6,1,7,5,5,5,4,6,6,6,2,8,3,3,2,2,0.46,0.47014678
866360,2,6,1,7,2,7,2,4,7,4,6,6,4,3,3,6,10,6,10,9,0.53,0.5284445
704298,2,6,8,7,3,6,5,8,4,5,5,4,10,5,3,7,4,8,6,5,0.585,0.5729828
860034,6,4,6,9,4,8,1,4,9,5,6,8,11,4,4,3,1,2,5,5,0.535,0.5300168
604683,6,0,5,7,4,7,5,6,4,2,5,5,6,4,2,7,4,5,3,5,0.47,0.4782497
593875,7,5,5,6,4,8,7,5,3,6,3,10,4,4,3,5,5,4,5,7,0.545,0.55212915
255930,4,5,6,5,6,5,4,4,9,6,7,8,5,4,1,6,4,6,4,6,0.535,0.53880847
4904,1,8,4,6,2,6,10,11,3,7,7,3,3,9,2,6,5,3,7,4,0.5,0.54229796
731299,8,4,9,5,5,8,8,6,6,7,9,6,5,8,3,6,9,3,6,3,0.63,0.63016546
69862,12,7,9,2,2,6,5,4,5,4,5,5,3,4,7,6,4,6,6,4,0.555,0.53643125
150078,6,7,3,4,6,6,6,5,6,6,4,5,6,3,4,7,8,3,5,7,0.57,0.56296927
642364,3,2,5,6,5,5,4,5,6,9,4,9,9,5,4,5,4,11,3,3,0.5,0.54884243
251752,2,1,8,4,1,6,5,8,3,3,8,6,4,3,3,5,6,3,9,4,0.47,0.45395064
276040,5,4,6,6,5,3,4,6,9,3,6,8,6,7,7,4,3,8,1,3,0.55,0.53249395
294193,5,1,5,2,2,3,1,4,5,8,8,3,7,7,3,12,4,2,4,0,0.43,0.42152297
39928,8,6,7,6,6,8,5,5,8,5,3,3,9,3,3,3,4,5,3,0,0.605,0.5263891
1112773,6,3,5,6,6,5,2,4,7,4,5,9,4,3,6,5,6,11,6,2,0.53,0.5318012
972063,4,10,9,3,4,7,1,2,5,9,7,3,3,6,2,4,4,4,4,7,0.49,0.48962784
583424,7,4,5,5,5,8,6,6,4,5,6,8,3,3,1,4,2,8,9,5,0.525,0.527519
703172,6,4,4,4,5,6,5,3,6,8,3,7,2,8,5,5,3,6,3,8,0.505,0.51712954
253001,4,5,3,6,9,1,9,7,7,5,5,6,6,4,6,11,7,8,5,9,0.625,0.642441
771137,4,2,4,5,2,5,2,6,7,9,4,5,4,4,7,7,8,5,6,7,0.52,0.5307999
714506,3,3,1,5,7,1,4,5,4,3,5,1,4,6,3,1,6,6,2,4,0.415,0.39160925
726303,3,5,5,4,6,8,4,5,4,8,5,4,2,5,3,7,4,4,3,5,0.445,0.48129392
82551,3,5,9,4,4,7,5,3,4,8,5,3,5,4,6,3,3,3,5,5,0.515,0.47536665
1094567,6,5,3,8,9,5,6,4,7,6,3,4,1,7,3,5,9,3,5,5,0.52,0.5360985
118910,3,2,5,2,4,6,3,2,7,7,9,5,7,4,4,4,2,6,9,5,0.465,0.4952379
156288,6,7,4,4,5,2,3,6,2,5,5,4,7,9,3,2,4,3,5,6,0.455,0.4652049
17530,5,4,5,6,2,1,4,5,7,2,6,6,3,4,6,4,1,2,5,4,0.4,0.40445918
513474,1,5,4,11,3,3,4,3,3,6,7,4,3,8,11,2,6,8,3,4,0.515,0.5088883
1097987,4,2,8,13,6,7,5,5,4,7,2,5,5,4,2,5,5,3,4,8,0.535,0.5367093
450013,7,2,4,4,3,5,5,7,2,5,5,6,6,5,6,4,7,7,5,8,0.525,0.531827
754198,4,4,2,4,2,5,5,5,5,3,7,6,3,4,8,6,2,3,5,7,0.46,0.45734638
386556,8,6,3,5,7,5,6,4,7,5,4,5,1,8,8,7,2,5,4,5,0.535,0.5416581
79468,6,7,6,6,5,10,5,6,5,2,5,6,5,4,4,8,5,1,8,3,0.545,0.5372584
923416,3,5,5,4,8,4,3,4,4,5,6,6,8,6,6,3,4,3,6,4,0.475,0.48788685
121396,7,5,4,2,7,4,10,4,4,4,5,7,6,5,2,5,3,10,3,6,0.52,0.5295402
487347,12,6,6,5,7,5,7,6,6,9,3,7,2,6,6,5,3,2,3,6,0.59,0.5686549
32552,5,2,3,5,5,4,3,3,6,10,6,3,5,5,1,3,6,7,3,6,0.47,0.46075454
69336,2,7,5,5,7,4,1,6,5,6,4,3,4,7,5,2,5,9,3,3,0.48,0.47911632
558356,6,5,5,2,4,8,4,2,3,7,2,5,5,5,5,7,5,4,7,5,0.5,0.47812057
5347,8,4,3,3,2,4,1,5,3,4,5,4,2,2,8,4,7,6,5,1,0.395,0.40909868
464025,5,2,5,5,4,5,6,4,4,7,5,5,7,6,5,3,9,4,4,10,0.555,0.53607464
1041932,8,6,2,5,6,6,3,5,5,3,6,6,2,3,8,8,6,6,5,6,0.535,0.53902966
290261,4,5,5,6,6,4,3,5,4,7,6,5,6,7,6,3,7,2,10,5,0.555,0.5547529
162537,12,4,4,8,3,5,3,3,6,6,8,6,2,6,2,4,4,2,3,3,0.51,0.47552544
